"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RAB342",3.58516740894509e-74,0.385907113369474,0.472,0.152,2.11058805364597e-69,"11","RAB34"
"MT-TK1",3.7960779044181e-74,0.552844995224282,0.458,0.138,2.23475106233094e-69,"11","MT-TK"
"FRMD4B2",3.92526496052385e-74,0.574259005649243,0.649,0.29,2.31080348226039e-69,"11","FRMD4B"
"ANKUB1",5.86218485790388e-74,0.269454181494962,0.176,0.004,3.45106822584801e-69,"11","ANKUB1"
"NR4A15",1.32395146615721e-73,0.740968565671467,0.923,0.577,7.7941022812675e-69,"11","NR4A1"
"CCND23",1.46832784394822e-73,0.566844734083555,0.573,0.209,8.64404601732319e-69,"11","CCND2"
"TOP14",1.47331963142234e-73,0.659766923967085,0.78,0.466,8.67343267018333e-69,"11","TOP1"
"LDHA3",1.50500358145875e-73,0.622378426137288,0.9,0.639,8.85995608404768e-69,"11","LDHA"
"ARHGAP51",1.65103872268641e-73,0.672982721490982,0.867,0.518,9.71966496045493e-69,"11","ARHGAP5"
"SLC5A32",1.93684571920173e-73,0.676075960664566,0.587,0.227,1.14022107489406e-68,"11","SLC5A3"
"B3GNT53",2.29398531614562e-73,0.547687291093695,0.608,0.239,1.35046915561492e-68,"11","B3GNT5"
"IFRD14",2.6735245055887e-73,0.578046264767385,0.753,0.404,1.57390387644007e-68,"11","IFRD1"
"NRARP",2.79296844052819e-73,0.328440563469403,0.283,0.044,1.64422052093894e-68,"11","NRARP"
"NCOR24",3.33493910710794e-73,0.560328998953658,0.682,0.325,1.96327865235444e-68,"11","NCOR2"
"AC022144.1",4.16746556545746e-73,0.311803537558633,0.252,0.033,2.45338697838481e-68,"11","AC022144.1"
"POLR2A1",4.2942356900579e-73,0.622146408295363,0.688,0.357,2.52801655073709e-68,"11","POLR2A"
"RPS245",5.4365976305946e-73,0.528527713434282,0.988,0.982,3.20052502513104e-68,"11","RPS24"
"PXDC13",6.43691831506982e-73,0.510410131756941,0.503,0.176,3.7894138120816e-68,"11","PXDC1"
"KRT231",6.73084250615108e-73,0.447175192889393,0.745,0.351,3.96244698337114e-68,"11","KRT23"
"RPS215",8.66794623770066e-73,0.592581985806081,0.988,0.987,5.10281995013438e-68,"11","RPS2"
"CAMSAP22",9.57864108189296e-73,0.472748644636371,0.499,0.176,5.63894600491039e-68,"11","CAMSAP2"
"KDM6B4",1.18105480656823e-72,0.632347807605194,0.713,0.348,6.95286964626718e-68,"11","KDM6B"
"WLS3",1.73539430958141e-72,0.424481279207251,0.501,0.161,1.02162663005058e-67,"11","WLS"
"PRKCI1",2.08961728626491e-72,0.548420757908491,0.577,0.23,1.23015769642415e-67,"11","PRKCI"
"IMPDH23",2.65489689357139e-72,0.619483983484077,0.702,0.381,1.56293780124548e-67,"11","IMPDH2"
"IL20",2.74047489165547e-72,0.362759186050867,0.188,0.007,1.61331756871758e-67,"11","IL20"
"SKP14",3.54174447313895e-72,0.592453010400878,0.923,0.67,2.0850249713369e-67,"11","SKP1"
"EIF16",3.5811690683929e-72,0.550168568503198,0.993,0.97,2.1082342305629e-67,"11","EIF1"
"MT-TA1",4.48180124640183e-72,0.51183915240994,0.421,0.119,2.63843639375676e-67,"11","MT-TA"
"PLCD3",4.58229258864263e-72,0.270909426380081,0.251,0.027,2.69759564693392e-67,"11","PLCD3"
"GPRC5C",5.19939450494568e-72,0.436332518742798,0.434,0.137,3.06088354506152e-67,"11","GPRC5C"
"UBE2H1",6.37058328698123e-72,0.613843651495259,0.774,0.418,3.75036238104585e-67,"11","UBE2H"
