"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PRB4",0,2.42082725255877,0.998,0.679,0,"0","PRB4"
"PRB3",0,2.40542538105807,1,0.695,0,"0","PRB3"
"HTN3",0,2.22370251068519,1,0.699,0,"0","HTN3"
"PRB1",0,2.14775373754814,1,0.682,0,"0","PRB1"
"HTN1",0,2.13668372736619,1,0.703,0,"0","HTN1"
"SMR3B",0,2.09348622535753,1,0.692,0,"0","SMR3B"
"PRR4",0,2.03342853468621,0.984,0.585,0,"0","PRR4"
"PRH1",0,2.01889260595581,1,0.708,0,"0","PRH1"
"PRH2",0,2.00181932186361,1,0.693,0,"0","PRH2"
"AC006518.7",0,1.97167007072748,0.994,0.582,0,"0","AC006518.7"
"CA6",0,1.93908542010914,1,0.683,0,"0","CA6"
"PRB2",0,1.84024208797862,0.999,0.684,0,"0","PRB2"
"STATH",0,1.74696143344702,1,0.914,0,"0","STATH"
"BPIFA2",0,1.52112196691812,0.994,0.669,0,"0","BPIFA2"
"PIP",0,1.39787151822712,0.999,0.845,0,"0","PIP"
"ZG16B",3.18115035570326e-299,1.20855115134055,1,0.945,1.87274321440251e-294,"0","ZG16B"
"MGP",8.27171130704483e-257,0.654595434892374,0.999,0.815,4.86955644645729e-252,"0","MGP"
"AMY2B",2.34977854935633e-223,1.3999187488774,0.79,0.336,1.38331463200607e-218,"0","AMY2B"
"AQP5",4.74373107436387e-220,1.34336573403239,0.851,0.473,2.79263448347801e-215,"0","AQP5"
"AZGP1",2.64147749995314e-208,0.750265101177242,0.999,0.896,1.55503780422242e-203,"0","AZGP1"
"NUCB2",1.44868144446203e-207,1.14524209222604,0.893,0.641,8.52838766354797e-203,"0","NUCB2"
"SEC11C",3.24341722154076e-177,1.07152951634797,0.845,0.637,1.90939971832105e-172,"0","SEC11C"
"MUCL1",1.69324545859191e-174,1.25501759765508,0.629,0.264,9.96813601473055e-170,"0","MUCL1"
"NDRG2",4.34795297482033e-172,1.02189197019519,0.861,0.645,2.55963991627673e-167,"0","NDRG2"
"LPO",3.18916108779791e-165,1.02554444151299,0.853,0.491,1.87745913238663e-160,"0","LPO"
"GGTA1P",3.45262892260324e-145,1.14196690211539,0.662,0.348,2.03256264673653e-140,"0","GGTA1P"
"TMED3",3.28394636286911e-139,1.02500426642038,0.772,0.58,1.93325922382104e-134,"0","TMED3"
"CST5",5.40398987863265e-136,1.29541939391417,0.542,0.224,3.18132884155104e-131,"0","CST5"
"TESC",9.52758662263162e-116,1.02326522161924,0.662,0.373,5.60889024474323e-111,"0","TESC"
"PRR27",9.23169088759055e-114,0.880840835725631,0.712,0.427,5.43469642552456e-109,"0","PRR27"
"S100A1",2.95285523548805e-111,0.977206808072105,0.709,0.47,1.73834587713181e-106,"0","S100A1"
"CAMP",1.63026502910219e-108,1.10325152413591,0.52,0.236,9.59737022632458e-104,"0","CAMP"
"FAM3D",1.3074570160455e-102,0.91841840149524,0.673,0.437,7.69699945345984e-98,"0","FAM3D"
"CALML5",3.87933057174994e-98,0.841471258937643,0.691,0.427,2.28376190758919e-93,"0","CALML5"
"DNASE2B",6.13152864481059e-89,0.924114184576859,0.421,0.174,3.60963091319999e-84,"0","DNASE2B"
"SLC13A5",1.42150152792707e-83,0.834658099055203,0.511,0.231,8.36837949490667e-79,"0","SLC13A5"
"P4HB",1.65707943726411e-76,0.650223705393736,0.833,0.756,9.75522664717382e-72,"0","P4HB"
"TPD52L1",5.08453173364519e-65,0.763682880817713,0.604,0.445,2.99326383159692e-60,"0","TPD52L1"
"NUPR1",2.10838187272345e-62,0.672042884071984,0.75,0.592,1.2412044084723e-57,"0","NUPR1"
"C5orf46",1.80372752736017e-59,0.768061244515876,0.53,0.362,1.06185439535693e-54,"0","C5orf46"
"TPT1",1.37688286012669e-57,0.308555851810547,1,0.993,8.1057093975658e-53,"0","TPT1"
"DNER",1.84942261767347e-56,0.697460600085648,0.427,0.232,1.08875509502437e-51,"0","DNER"
"PPDPF",6.02920236880045e-51,0.452543032360137,0.853,0.812,3.54939143451282e-46,"0","PPDPF"
"SSR4",5.81555642981241e-47,0.306609778284967,0.865,0.869,3.42361807023057e-42,"0","SSR4"
"CST2",3.04330754789031e-46,1.19705104125859,0.357,0.174,1.79159515344303e-41,"0","CST2"
"DHRS7",2.34879196382996e-41,0.550570233471121,0.689,0.658,1.3827338291067e-36,"0","DHRS7"
"PART1",2.64368573241779e-41,0.759943955079755,0.431,0.293,1.55633779067435e-36,"0","PART1"
"SEC61B",1.60404963429886e-40,0.494446302673998,0.708,0.737,9.44304019711737e-36,"0","SEC61B"
"RPL36",8.80075580322069e-40,0.273091449050193,0.999,0.988,5.18100494135602e-35,"0","RPL36"
"EIF4EBP1",1.87740689072169e-38,0.671333424511202,0.553,0.488,1.10522943656786e-33,"0","EIF4EBP1"
"PIGR",1.14198449059567e-37,0.251958020348501,0.868,0.79,6.72286269613672e-33,"0","PIGR"
"PPP1R1B",2.26240867155517e-31,0.63867381552416,0.385,0.272,1.33187998494453e-26,"0","PPP1R1B"
"EEF1D",2.33626864652995e-30,0.32363266829007,0.964,0.952,1.37536135221218e-25,"0","EEF1D"
"SMIM22",2.84016313006342e-29,0.606770868065681,0.462,0.382,1.67200403466833e-24,"0","SMIM22"
"SMCO4",4.48160292820612e-28,0.655014163582774,0.419,0.343,2.63831964383494e-23,"0","SMCO4"
"CLDN10",1.17208797374611e-23,0.476033980241511,0.381,0.298,6.90008190144335e-19,"0","CLDN10"
"SERP1",3.3894433803573e-22,0.362733055332874,0.762,0.824,1.99536531801635e-17,"0","SERP1"
"SSR3",2.8228451811532e-21,0.471562492817488,0.592,0.631,1.66180895814489e-16,"0","SSR3"
"ETFB",9.36869411068899e-20,0.542046492167375,0.546,0.574,5.51535022296261e-15,"0","ETFB"
"SPINT2",1.45515777022643e-18,0.328697708469128,0.643,0.608,8.56651379332302e-14,"0","SPINT2"
"ELOB",4.55617748311907e-18,0.340390724910243,0.771,0.825,2.68222168431219e-13,"0","ELOB"
"MZT2B",1.11409368943266e-14,0.340938399240486,0.698,0.782,6.55866954969006e-10,"0","MZT2B"
"FAM3B",1.50073988694708e-14,0.484224951583387,0.301,0.224,8.83485571445746e-10,"0","FAM3B"
"AMY1B",2.11143465150236e-14,0.457653945672586,0.214,0.127,1.24300157933944e-09,"0","AMY1B"
"LINC01829",1.20408749055935e-13,0.470756153360644,0.24,0.192,7.08846305692287e-09,"0","LINC01829"
"PAIP2B",6.10896674235538e-13,0.510379457261588,0.319,0.28,3.59634872122461e-08,"0","PAIP2B"
"RRAGD",1.76730334854972e-12,0.450272600730361,0.42,0.4,1.04041148129122e-07,"0","RRAGD"
"DPP4",8.53536918336981e-12,0.419395052559427,0.29,0.257,5.02477183824981e-07,"0","DPP4"
"CHCHD10",8.60399003529737e-12,0.333189181206621,0.601,0.666,5.06516893377956e-07,"0","CHCHD10"
"TMED2",2.13386158808128e-11,0.376899720703365,0.516,0.596,1.25620431690345e-06,"0","TMED2"
"MT-TG",5.19567080446692e-11,0.427702075321576,0.228,0.176,3.05869140258968e-06,"0","MT-TG"
"KIAA1324",2.21151010659163e-10,0.386011396233234,0.378,0.344,1.30191599975049e-05,"0","KIAA1324"
"ATP5F1D",7.15983830712713e-10,0.28021049106773,0.713,0.796,4.21499681140574e-05,"0","ATP5F1D"
"POLR2L",9.4663281722737e-10,0.251318352817212,0.628,0.729,5.57282739501753e-05,"0","POLR2L"
"AGFG2",3.80267081576818e-09,0.408201681625079,0.288,0.25,0.000223863230924273,"0","AGFG2"
"SNHG19",3.68417381189181e-08,0.524934914087197,0.354,0.351,0.00216887312306071,"0","SNHG19"
"FXYD3",2.96829030048143e-07,0.381678079736104,0.358,0.342,0.0174743249989342,"0","FXYD3"
"UQCRQ",8.26958301113645e-07,0.262153892723187,0.565,0.685,0.0486830351865603,"0","UQCRQ"
"BPIFA21",0,1.87331842693599,0.998,0.684,0,"1","BPIFA2"
"LPO1",0,1.73005145138088,0.985,0.491,0,"1","LPO"
"CA61",0,1.70897463329251,1,0.698,0,"1","CA6"
"PRB21",0,1.6689009817895,0.999,0.699,0,"1","PRB2"
"HTN11",0,1.65186166217014,1,0.718,0,"1","HTN1"
"STATH1",0,1.62838626342838,1,0.918,0,"1","STATH"
"AC006518.71",0,1.53701256383472,0.997,0.602,0,"1","AC006518.7"
"PRH21",0,1.52148823581849,1,0.708,0,"1","PRH2"
"AQP51",0,1.40741887439708,0.962,0.476,0,"1","AQP5"
"AMY2B1",0,1.22624051225866,0.935,0.338,0,"1","AMY2B"
"NDRG21",0,1.15978518198101,0.977,0.639,0,"1","NDRG2"
"TMED31",0,1.15296409341725,0.951,0.564,0,"1","TMED3"
"DNER1",0,1.01199409878089,0.843,0.184,0,"1","DNER"
"ETV1",0,0.8777284587516,0.785,0.144,0,"1","ETV1"
"CHRM3",0,0.852887685515612,0.773,0.125,0,"1","CHRM3"
"HTN31",1.66689144716749e-300,1.51036132957599,1,0.714,9.81298994947499e-296,"1","HTN3"
"TESC1",3.69829309200517e-300,1.17594273662582,0.919,0.351,2.17718514326344e-295,"1","TESC"
"PRH11",1.71916716492928e-296,1.37319383783,0.999,0.722,1.01207370999387e-291,"1","PRH1"
"ZG16B1",8.17814470548528e-289,1.67621789698943,1,0.948,4.81447378811918e-284,"1","ZG16B"
"KIAA13241",1.03805561226743e-287,0.991392123029534,0.873,0.276,6.11103338941833e-283,"1","KIAA1324"
"PRB11",2.73268014149258e-287,1.499100212501,0.999,0.698,1.60872879929668e-282,"1","PRB1"
"P4HB1",3.36802407877937e-286,0.941418288999226,0.969,0.741,1.98275577517741e-281,"1","P4HB"
"PRR41",1.62030547625659e-285,1.3313840686191,0.991,0.604,9.53873833872255e-281,"1","PRR4"
"NUCB21",9.6474018301546e-283,1.06523214015723,0.966,0.643,5.67942545741201e-278,"1","NUCB2"
"SMR3B1",4.0082949879112e-277,1.62254546345175,1,0.707,2.35968325938332e-272,"1","SMR3B"
"PRB31",1.79152270812886e-272,1.4389010832275,1,0.71,1.05466941827546e-267,"1","PRB3"
"S100A11",3.20723183047117e-270,1.03199884030421,0.919,0.452,1.88809737859838e-265,"1","S100A1"
"FAM3D1",9.86088722536783e-269,0.955272358711459,0.923,0.414,5.80510430957404e-264,"1","FAM3D"
"PIP1",1.16956991980153e-268,1.06357075060959,0.999,0.853,6.88525811787158e-264,"1","PIP"
"MUCL11",9.74396574447623e-265,0.850658304214832,0.857,0.25,5.73627263377316e-260,"1","MUCL1"
"PPP1R1B1",6.22145440149879e-260,0.75119177744601,0.806,0.218,3.66257020616234e-255,"1","PPP1R1B"
"PIGR1",1.1395611120983e-257,1.04083343203659,0.984,0.778,6.7085962669227e-253,"1","PIGR"
"AGFG21",5.41617555568604e-257,0.745680763884145,0.769,0.185,3.18850254963237e-252,"1","AGFG2"
"GGTA1P1",5.9244470932274e-255,0.884132026736183,0.885,0.332,3.48772200378297e-250,"1","GGTA1P"
"PIK3C2G",2.5574845958836e-249,0.430270171226051,0.532,0.04,1.50559118159668e-244,"1","PIK3C2G"
"KCNMA11",8.8300193326192e-248,0.748530210510572,0.837,0.263,5.19823238111292e-243,"1","KCNMA1"
"ANO1",9.57420465259509e-247,0.533942579235143,0.668,0.114,5.63633427898273e-242,"1","ANO1"
"PAX9",4.43364400262123e-241,0.487486105089652,0.66,0.117,2.61008622434312e-236,"1","PAX9"
"NOSTRIN",2.22848072131385e-239,0.504320891461175,0.691,0.14,1.31190660063746e-234,"1","NOSTRIN"
"AMY1B1",2.75889747128045e-238,0.414114772765743,0.602,0.077,1.6241629413428e-233,"1","AMY1B"
"SLC13A51",4.38089643959391e-235,1.24730351998644,0.747,0.212,2.57903373398893e-230,"1","SLC13A5"
"TPD52L11",7.69581050339515e-234,0.845348040497607,0.897,0.412,4.53052364334872e-229,"1","TPD52L1"
"PLA2R1",1.73105057920905e-233,0.707082509392942,0.749,0.214,1.01906947598037e-228,"1","PLA2R1"
"TRPV6",3.09102832468425e-232,0.445288330489963,0.639,0.102,1.81968837474162e-227,"1","TRPV6"
"CAMP1",9.31959275331937e-232,0.855037694749966,0.787,0.213,5.48644425387911e-227,"1","CAMP"
"ARFGEF3",2.07759115298559e-231,0.744171092222707,0.794,0.242,1.22307791176262e-226,"1","ARFGEF3"
"ETNPPL1",2.24206296396258e-230,0.379571277226771,0.559,0.063,1.31990246688477e-225,"1","ETNPPL"
"BLM",2.36173557711065e-230,0.500140160493737,0.662,0.116,1.39035373424504e-225,"1","BLM"
"DPP41",6.01049173444934e-230,0.643370427589609,0.772,0.191,3.53837648407032e-225,"1","DPP4"
"SLC31A21",3.15143490278779e-228,0.746216516088615,0.844,0.344,1.85524972727117e-223,"1","SLC31A2"
"PLCB4",2.29225764870955e-227,0.521390980531123,0.689,0.143,1.34945207779531e-222,"1","PLCB4"
"AZGP11",1.56298208096337e-226,0.729086620541993,1,0.901,9.20127551063135e-222,"1","AZGP1"
"FAM107A",6.17861057784816e-226,0.861522327344367,0.765,0.213,3.63734804717921e-221,"1","FAM107A"
"SEC11C1",1.89374303949772e-224,0.860638841738853,0.949,0.632,1.11484652735231e-219,"1","SEC11C"
"DNASE2B1",5.36827081401171e-224,0.579817701845387,0.722,0.144,3.16030102820869e-219,"1","DNASE2B"
"RRAGD1",5.72448326379747e-222,0.767987842044362,0.841,0.342,3.37000329739757e-217,"1","RRAGD"
"CALML51",8.83736009095228e-222,0.904292212003141,0.925,0.407,5.20255388554361e-217,"1","CALML5"
"PYCR11",1.17204909936995e-218,0.446987270270129,0.653,0.123,6.8998530479909e-214,"1","PYCR1"
"PLCB1",2.74648076436261e-218,0.649633272266617,0.787,0.251,1.61685322598027e-213,"1","PLCB1"
"PLIN5",2.46724401112504e-217,0.616996370002083,0.697,0.174,1.45246654934931e-212,"1","PLIN5"
"CRACR2B",1.78718087762782e-216,0.625167839762472,0.78,0.226,1.0521133826595e-211,"1","CRACR2B"
"FAM20A",1.9137818041302e-215,0.481685125133261,0.675,0.138,1.12664334809145e-210,"1","FAM20A"
"PRUNE2",3.6649185606255e-214,0.379366777088041,0.562,0.07,2.15753755664023e-209,"1","PRUNE2"
"PART11",8.82210427360604e-212,0.670731095985923,0.796,0.249,5.19357278587187e-207,"1","PART1"
"PRB41",1.03111583869026e-211,1.33607016574762,0.999,0.695,6.07017894236958e-207,"1","PRB4"
"AMY1A1",1.19039715025757e-205,0.298953751716841,0.503,0.049,7.0078680235663e-201,"1","AMY1A"
"PAIP2B1",2.35001594398727e-204,0.536966132859167,0.76,0.22,1.38345438622531e-199,"1","PAIP2B"
"SMCO41",2.3939059656275e-204,0.630749971295683,0.797,0.294,1.40929244196491e-199,"1","SMCO4"
"KIF21A",1.11835123825226e-203,0.482084752430463,0.716,0.212,6.58373373959104e-199,"1","KIF21A"
"MGP1",6.79829977771469e-199,0.529875562739718,1,0.824,4.00215907914064e-194,"1","MGP"
"SLC1A2",1.24095192412328e-198,0.277909435309406,0.446,0.039,7.30548397731375e-194,"1","SLC1A2"
"NCALD",2.26370353961751e-198,0.44679397081813,0.695,0.186,1.33264227377283e-193,"1","NCALD"
"SPDEF",1.2740160492534e-195,0.276893569300145,0.508,0.075,7.50013248195475e-191,"1","SPDEF"
"QPRT1",5.16585757439655e-195,0.340737941692186,0.599,0.113,3.04114035404725e-190,"1","QPRT"
"XBP1",1.96826719733243e-193,0.772257848652279,0.94,0.64,1.1587188990696e-188,"1","XBP1"
"LINC018291",1.61634513290913e-191,0.373046867158435,0.625,0.14,9.51542379743604e-187,"1","LINC01829"
"NXPE4",2.36557226994123e-191,0.265904775777254,0.449,0.036,1.3926123953144e-186,"1","NXPE4"
"LYPD11",1.09758499232711e-189,0.374199930473773,0.561,0.096,6.46148284982968e-185,"1","LYPD1"
"ALDH1L1",2.40597192051962e-188,0.443430563859405,0.716,0.218,1.4163956696099e-183,"1","ALDH1L1"
"CLDN101",2.17119594408907e-186,0.536059924376535,0.78,0.246,1.27818305228523e-181,"1","CLDN10"
"C5orf461",2.720719157806e-185,0.676252484203657,0.841,0.327,1.60168736820039e-180,"1","C5orf46"
"LRRC26",2.73952418144017e-184,0.579763083584439,0.78,0.259,1.61275788561383e-179,"1","LRRC26"
"PRR271",2.30850422268907e-183,1.40517648645866,0.872,0.418,1.35901643589706e-178,"1","PRR27"
"GALNT6",7.38619689659057e-181,0.445748404765348,0.643,0.149,4.34825411302287e-176,"1","GALNT6"
"TSPAN12",1.63458898393965e-180,0.333554876361348,0.6,0.131,9.62282534845275e-176,"1","TSPAN12"
"DHRS71",3.46536720802751e-179,0.715817726745575,0.925,0.626,2.04006167536579e-174,"1","DHRS7"
"ELF5",4.51805889889404e-179,0.438315280897976,0.691,0.191,2.65978127377892e-174,"1","ELF5"
"TCIM",1.95681858766378e-176,0.77410468670204,0.79,0.272,1.15197910255766e-171,"1","TCIM"
"FAM3B1",8.83877233262639e-176,0.701886018067727,0.671,0.176,5.20338527221715e-171,"1","FAM3B"
"COBL",3.8957152440148e-175,0.399818050681251,0.637,0.152,2.29340756415151e-170,"1","COBL"
"AC009041.2",5.39824555782594e-175,0.334703869689648,0.55,0.096,3.17794715989213e-170,"1","AC009041.2"
"ARHGAP29",3.42763616089867e-174,0.463059297217787,0.748,0.252,2.01784940792105e-169,"1","ARHGAP29"
"BSPRY",5.0258530468903e-174,0.494171963602634,0.657,0.185,2.95871968870432e-169,"1","BSPRY"
"FAM20C",2.31980792809385e-173,0.458437274851384,0.728,0.242,1.36567092726885e-168,"1","FAM20C"
"EIF4EBP11",1.8227330054551e-172,0.678897664679217,0.867,0.448,1.07304292031142e-167,"1","EIF4EBP1"
"CST51",6.00567804954589e-171,0.914911313915571,0.696,0.218,3.53554266776767e-166,"1","CST5"
"ALDH18A1",7.29820394899826e-170,0.364581167258272,0.637,0.159,4.29645266477527e-165,"1","ALDH18A1"
"SLC9A3R21",5.09375991184337e-169,0.370016424701388,0.745,0.228,2.99869646010219e-164,"1","SLC9A3R2"
"SH3BGRL2",1.43289238430571e-168,0.432894495280619,0.736,0.257,8.43543746640769e-164,"1","SH3BGRL2"
"SIX1",2.63129545720516e-163,0.301200748912044,0.612,0.158,1.54904363565667e-158,"1","SIX1"
"PTCH2",2.20905311463122e-160,0.285639979647443,0.422,0.056,1.3004695685834e-155,"1","PTCH2"
"FUT8",9.50962379272778e-159,0.397080283146728,0.665,0.189,5.59831552677884e-154,"1","FUT8"
"ALDH1A1",1.60953147046628e-158,0.280993653673015,0.68,0.186,9.475311766635e-154,"1","ALDH1A1"
"WWC1",6.82448466173009e-157,0.440505170473549,0.732,0.235,4.0175741203605e-152,"1","WWC1"
"PHGDH",8.58267724578354e-156,0.459785223087287,0.751,0.279,5.05262209459277e-151,"1","PHGDH"
"METRN1",3.30673284199815e-155,0.403019707856805,0.736,0.276,1.94667362408431e-150,"1","METRN"
"SLC12A2",4.57590115603306e-153,0.606636257386235,0.74,0.288,2.69383301055666e-148,"1","SLC12A2"
"FOLH1",1.2331163775404e-152,0.253578192456253,0.487,0.091,7.25935611458035e-148,"1","FOLH1"
"SMIM221",1.47713253498515e-150,0.480153927940705,0.817,0.336,8.6958792334576e-146,"1","SMIM22"
"RRBP1",1.74975365590409e-150,0.680677883940065,0.908,0.589,1.03007997723074e-145,"1","RRBP1"
"TSPAN6",5.47318339333428e-150,0.353332041995713,0.692,0.24,3.22206306365589e-145,"1","TSPAN6"
"HDLBP1",2.75208517343247e-149,0.652894700077299,0.913,0.632,1.62015254159969e-144,"1","HDLBP"
"MCFD21",6.09791523146439e-149,0.615257632112739,0.862,0.511,3.58984269676309e-144,"1","MCFD2"
"TM7SF2",1.13540475869015e-147,0.27804270378158,0.606,0.181,6.68412781440889e-143,"1","TM7SF2"
"TSPAN131",2.3091790391534e-147,0.493030957605054,0.757,0.297,1.3594137003496e-142,"1","TSPAN13"
"WNT5A",2.41577685663089e-147,0.379055467110164,0.597,0.155,1.4221678354986e-142,"1","WNT5A"
"SLC31A1",6.96431425447951e-147,0.38921564202057,0.685,0.237,4.09989180161209e-142,"1","SLC31A1"
"TECPR1",1.76024559426269e-146,0.312334597122185,0.558,0.141,1.03625658134244e-141,"1","TECPR1"
"PDE4D",1.38809845856641e-145,0.374659699069735,0.636,0.199,8.17173562558045e-141,"1","PDE4D"
"FOXC1",9.61048235132479e-144,0.561761057830257,0.84,0.365,5.65769096022491e-139,"1","FOXC1"
"ALAD",2.18408694064813e-143,0.30915206267365,0.588,0.162,1.28577198195955e-138,"1","ALAD"
"GPT2",1.70037289921362e-142,0.263314333103908,0.486,0.1,1.00100952576706e-137,"1","GPT2"
"FURIN",2.60209298510851e-142,0.439327764594068,0.723,0.273,1.53185214033338e-137,"1","FURIN"
"PPP1R16A",2.40701756452443e-138,0.271815330475134,0.601,0.174,1.41701124023553e-133,"1","PPP1R16A"
"TCEAL2",5.00611825714593e-137,0.324892646620006,0.57,0.164,2.94710181798181e-132,"1","TCEAL2"
"SRPRB",2.48036751614241e-136,0.334975960564189,0.704,0.273,1.46019235675303e-131,"1","SRPRB"
"CANX",3.51186742570414e-134,0.624848756889655,0.934,0.747,2.06743635351203e-129,"1","CANX"
"PLPP5",3.54709105843338e-134,0.439996757943984,0.754,0.315,2.08817250609973e-129,"1","PLPP5"
"MAGED1",3.9786947068478e-134,0.328377076485268,0.635,0.206,2.3422575739213e-129,"1","MAGED1"
"SPINT21",6.03286155338848e-134,0.603626279889884,0.914,0.572,3.5515455964798e-129,"1","SPINT2"
"FAM171B",4.24602101039628e-133,0.265271167753835,0.589,0.16,2.49963256882029e-128,"1","FAM171B"
"CA2",4.56221374440499e-132,0.26921645185256,0.572,0.158,2.68577523133122e-127,"1","CA2"
"CGNL1",1.10985473993659e-130,0.257164664152887,0.57,0.159,6.53371485400673e-126,"1","CGNL1"
"FOXCUT",2.97313825084087e-130,0.264283123701517,0.434,0.082,1.75028648827002e-125,"1","FOXCUT"
"SLC39A8",2.66338914880487e-129,0.317459509644801,0.739,0.287,1.56793719190142e-124,"1","SLC39A8"
"PTN",1.86709794077468e-128,0.319149014115553,0.526,0.14,1.09916055773406e-123,"1","PTN"
"FXYD31",2.00640236021796e-128,0.384601771058354,0.756,0.287,1.18116906946031e-123,"1","FXYD3"
"YIPF2",3.19778822211504e-126,0.262687233212275,0.623,0.217,1.88253792635912e-121,"1","YIPF2"
"MEIS2",3.52397574388023e-126,0.429728257554647,0.793,0.329,2.07456452042229e-121,"1","MEIS2"
"NPDC1",5.75932027014676e-125,0.365878364891424,0.746,0.278,3.3905118430354e-120,"1","NPDC1"
"AQP3",5.13227392135074e-123,0.42515013433008,0.758,0.325,3.02136965749918e-118,"1","AQP3"
"CDC42EP5",1.98170115791521e-122,0.298621985407516,0.672,0.258,1.16662747166469e-117,"1","CDC42EP5"
"KRT18",7.54606083137255e-121,0.382628380799363,0.931,0.558,4.44236601142902e-116,"1","KRT18"
"SLC20A2",6.09673987501854e-120,0.319214633947441,0.605,0.198,3.58915076442341e-115,"1","SLC20A2"
"LINC00632",1.01803366755448e-119,0.451656303486476,0.64,0.246,5.99316420089322e-115,"1","LINC00632"
"NUDT4",1.26736676667901e-118,0.535455677405418,0.815,0.421,7.46098815543934e-114,"1","NUDT4"
"KCNN4",1.51512828926193e-116,0.286833793728353,0.534,0.153,8.91956023888499e-112,"1","KCNN4"
"SFRP1",1.01595151836538e-115,0.505144090446251,0.826,0.423,5.98090658861697e-111,"1","SFRP1"
"SRGAP1",2.02471903824031e-115,0.273887044900518,0.668,0.241,1.19195209781207e-110,"1","SRGAP1"
"CRELD2",4.25774312911116e-113,0.29176686068034,0.658,0.256,2.50653338010774e-108,"1","CRELD2"
"CST21",4.17784593070942e-112,0.865081012737295,0.521,0.16,2.45949789940863e-107,"1","CST2"
"TENT5A",9.41817671280468e-112,0.539659918573605,0.784,0.355,5.54448063082812e-107,"1","TENT5A"
"GMDS",5.23419210797944e-109,0.39179290584193,0.783,0.34,3.0813688939675e-104,"1","GMDS"
"BPIFB1",5.31221142845571e-109,0.557480127069851,0.428,0.091,3.12729886793188e-104,"1","BPIFB1"
"PRKACB",6.70161653190292e-109,0.381086055309433,0.761,0.339,3.94524165233125e-104,"1","PRKACB"
"SSR31",1.10080053297303e-108,0.485937593607773,0.875,0.59,6.48041273761224e-104,"1","SSR3"
"RCN1",2.00982986241795e-107,0.303371009858212,0.707,0.301,1.18318684000545e-102,"1","RCN1"
"SNHG191",1.3333416747352e-106,0.303149665677273,0.719,0.3,7.84938243916614e-102,"1","SNHG19"
"FAM129A",5.77332507507266e-106,0.448398090115248,0.82,0.413,3.39875647169527e-101,"1","FAM129A"
"SECISBP2L",8.78055802712155e-106,0.417020245633801,0.776,0.38,5.16911451056646e-101,"1","SECISBP2L"
"MAOA",1.32222986934201e-105,0.337984336891235,0.761,0.32,7.78396724081639e-101,"1","MAOA"
"SEC61B1",1.98995018477184e-105,0.465461055177164,0.912,0.707,1.17148367377518e-100,"1","SEC61B"
"CHI3L2",2.66517517034554e-103,0.663291585406797,0.6,0.235,1.56898862278242e-98,"1","CHI3L2"
"ZNF827",3.18330429819424e-101,0.256056944717348,0.626,0.224,1.87401124034695e-96,"1","ZNF827"
"NUPR11",4.80725595005403e-101,0.500851506541648,0.923,0.576,2.83003157779681e-96,"1","NUPR1"
"ETFB1",3.32756081443239e-100,0.456255387900192,0.867,0.528,1.95893505145635e-95,"1","ETFB"
"HM13",3.52175379293256e-100,0.407696833209798,0.828,0.488,2.0732564578994e-95,"1","HM13"
"EPRS",4.84839818710237e-100,0.454896881791059,0.813,0.475,2.85425201274717e-95,"1","EPRS"
"SPATS2L",2.67888871759814e-99,0.363522718535261,0.782,0.385,1.57706178805003e-94,"1","SPATS2L"
"ACAT1",7.71265000460351e-99,0.285612603296405,0.724,0.317,4.54043705771009e-94,"1","ACAT1"
"ECHS1",7.16457230791436e-97,0.396292856931893,0.812,0.475,4.21778371766919e-92,"1","ECHS1"
"PDLIM3",1.74801164689093e-96,0.596233685078891,0.439,0.127,1.02905445652469e-91,"1","PDLIM3"
"PDHA1",1.47087717135541e-95,0.335424495993204,0.755,0.345,8.65905390776928e-91,"1","PDHA1"
"CPD",1.17325719350748e-92,0.370586115918456,0.785,0.369,6.90696509817856e-88,"1","CPD"
"TMED21",4.43319220699106e-92,0.423705587568241,0.855,0.545,2.60982025225564e-87,"1","TMED2"
"LINC00472",1.46412650678072e-91,0.271096446762772,0.491,0.155,8.61931274541807e-87,"1","LINC00472"
"RBM47",3.65336852964219e-89,0.30629648714105,0.75,0.325,2.15073805340036e-84,"1","RBM47"
"IDH2",4.74783688845348e-81,0.32451601815794,0.725,0.336,2.79505157623256e-76,"1","IDH2"
"SERP11",1.27330038996973e-79,0.37047093488707,0.934,0.797,7.49591939575182e-75,"1","SERP1"
"PDK4",3.2423887081794e-79,0.360150764865232,0.843,0.479,1.90879423250521e-74,"1","PDK4"
"TMED10",5.76764778369756e-79,0.398718415878298,0.879,0.627,3.39541425026276e-74,"1","TMED10"
"RAB4A",8.80953021445599e-75,0.303638806039211,0.779,0.406,5.18617043725024e-70,"1","RAB4A"
"SH3YL1",1.66660087318628e-73,0.262646313502955,0.711,0.349,9.81127934044765e-69,"1","SH3YL1"
"CD44",4.09438883482496e-73,0.374043568364849,0.944,0.748,2.41036670706145e-68,"1","CD44"
"KLF10",2.01096920702222e-70,0.307800204535745,0.718,0.365,1.18385757217398e-65,"1","KLF10"
"SRPRA",3.75034688751653e-68,0.302246768689406,0.767,0.452,2.20782921268098e-63,"1","SRPRA"
"VPS51",1.19359627320389e-67,0.263941432054193,0.773,0.417,7.02670126035132e-63,"1","VPS51"
