"","gene","logFC","logCPM","LR","PValue","FDR","s04_SMG","s07_SMG","s09_SMG","s12_SMG","s14_SMG","s17_SMG","s23_SMG","s01_SMG_IR","s02_SMG_IR","s21_SMG_IR","s27_SMG_IR","s30_SMG_IR","s31_SMG_IR"
"7056","EPOR",-0.361203875804679,2.63534891349917,1.3882344180515,0.238703490537336,0.662874651504271,117,49,54,52,33,52,60,48,44,16,68,80,65
"7057","EPPK1",0.721037403481345,6.45733827718034,1.07465238319057,0.299896942146967,0.716527714641603,823,431,948,568,489,635,719,556,405,204,593,1651,396
"7058","EPRS",-0.556830464134103,8.51964063435599,4.74174645461737,0.0294391712910489,0.260559823254009,5921,4365,4119,3723,2367,5140,3688,3165,1387,1045,2644,1945,2734
"7059","EPS15",-0.00562290043248612,7.21050985111485,0.000714366652433185,0.978676968777849,0.996316555940652,1438,878,848,928,839,1107,903,1004,1538,454,1972,2152,1040
"7060","EPS15L1",-0.21168478677351,4.04975906941053,0.682055695490705,0.408879750361502,0.792419621216758,179,69,121,117,126,122,139,114,114,55,148,330,137
"7061","EPS8",0.614099494926031,5.85958802775008,10.6034086413544,0.0011287936797517,0.0420461640880114,588,304,249,285,253,363,313,427,801,181,1142,1138,631
"7062","EPS8L1",1.08662246927082,4.71279114229032,6.49755334347675,0.0108023043648605,0.153126321602527,400,236,269,332,170,234,313,277,199,99,357,340,271
"7063","EPS8L2",0.614401454037074,6.51279037874533,1.94351395828359,0.163287501430701,0.571438387734854,1599,698,785,895,556,916,975,692,411,329,904,1012,520
"7064","EPSTI1",0.0173991412534776,4.45618573028234,0.00232331322142798,0.961556244857674,0.992310654149573,142,104,99,122,104,305,123,317,344,57,341,267,126
"7065","ERAL1",0.083379197716912,3.30888503459024,0.0991850112686308,0.752809852951715,0.937100280600135,121,77,77,80,64,139,108,130,67,34,108,122,79
"7066","ERAP1",0.210342028838512,6.55434723693728,0.894286983757139,0.34431821397021,0.753264038628572,933,535,528,625,493,1054,514,833,1104,316,1288,1143,759
"7067","ERAP2",0.150706359289921,5.03570547763293,0.0637986344070356,0.800589760588214,0.951058617864265,477,78,192,67,299,139,68,395,757,38,268,757,313
"7068","ERBB2",0.418042926188772,7.06797081625983,2.57039465086532,0.108880565692082,0.487706461820751,2078,1082,1289,1445,1100,1620,1337,1243,745,536,1428,1660,1167
"7069","ERBB3",0.343549115496312,7.82231231944048,1.23945937423613,0.26557527103025,0.687241081351162,4620,2386,2342,2581,1928,2741,2307,2007,780,745,1276,1369,1606
"7070","ERBB4",0.0339151562314168,6.74421549804078,0.00582816671130004,0.939146669574978,0.986439238920093,2397,1554,1529,866,1043,1495,1706,1127,349,210,488,534,1123
"7071","ERBIN",-0.185098703554317,7.7434565066261,0.888553926603489,0.345869481101753,0.754516262022646,2740,1854,1674,1977,1449,1720,1423,1626,1971,588,2669,3173,1743
"7072","ERC1",0.0567440405617032,6.09015270748446,0.0634077543956195,0.801188728202256,0.951141211725243,883,445,574,569,599,469,516,577,608,257,749,1596,620
"7073","ERC2",0.35892672262796,1.61389214246865,0.714694867712726,0.397889621635937,0.785299356465836,23,15,19,21,14,18,21,17,34,5,40,59,50
"7074","ERCC1",-0.477168980306237,5.72485219292273,4.22386418541188,0.0398592884195224,0.303724723405157,891,473,609,532,469,551,431,353,286,147,421,428,390
"7075","ERCC2",0.467592541936264,3.77498365042334,4.84611610272312,0.0277084557157103,0.252898470525033,191,90,79,117,75,129,78,122,120,53,205,239,123
"7076","ERCC3",-0.0689733258783307,5.15194707064755,0.145737834811097,0.702642172358814,0.921507716667433,523,245,281,328,237,302,227,265,335,105,514,573,285
"7077","ERCC4",0.192633827899181,3.82879846478709,0.486638705853498,0.485430544434471,0.833330484358544,139,96,99,110,62,139,135,160,134,40,163,210,142
"7078","ERCC5",-0.221299194650578,4.61218378196796,1.11762300923996,0.290430857809695,0.706645638936307,362,225,177,223,136,243,197,220,201,79,274,312,197
"7079","ERCC6",-0.229661177495262,5.55882837220846,1.68998906916247,0.193602410102287,0.611827416343901,617,328,383,342,335,385,331,313,383,131,563,869,423
"7080","ERCC6L",-0.160993943730074,1.56694778509117,0.181184281257508,0.670357457227541,0.912716722307407,31,12,13,10,22,21,14,18,30,11,38,94,17
"7081","ERCC6L2",-0.0249040412033907,5.91530550931257,0.0145292611463432,0.904057466694782,0.978497681503447,726,460,510,441,359,486,397,506,643,160,764,929,563
"7082","ERCC8",-0.189701911702201,3.73866872979309,0.61857931416437,0.431575712075789,0.805394300722464,167,104,89,109,104,104,109,109,145,34,180,155,109
"7083","EREG",-0.0412211447672465,0.222157697049149,0.00180979074761467,0.966066921478973,0.993128079911145,1,0,8,0,10,0,5,1,24,0,7,24,7
"7084","ERF",0.680304384794446,4.41886016686969,3.48211238037712,0.0620355032815672,0.374775847285483,186,88,118,98,104,152,116,115,272,74,285,297,166
"7085","ERFE",1.02426841847369,0.0412896478780268,3.12454417279697,0.077121437539749,0.415099093312727,8,4,4,2,4,2,2,12,3,1,11,17,16
"7086","ERG",0.580444026714181,3.35493769990691,2.79741793329926,0.0944162449743904,0.455212189103194,59,32,35,25,24,36,62,64,109,36,112,151,135
"7087","ERG28",-0.294624673161969,3.69046502673641,1.56213213240896,0.211353307985278,0.633679774224331,202,131,99,132,139,116,113,83,132,44,142,145,105
