"","gene","logFC","logCPM","LR","PValue","FDR","s04_SMG","s07_SMG","s09_SMG","s12_SMG","s14_SMG","s17_SMG","s23_SMG","s01_SMG_IR","s02_SMG_IR","s21_SMG_IR","s27_SMG_IR","s30_SMG_IR","s31_SMG_IR"
"1","A1BG-AS1",0.896269292512575,0.953592877850346,5.15442612380231,0.0231871967573671,0.231615755454805,13,9,10,11,14,6,8,22,17,7,34,35,28
"2","A2M",1.12739675490996,9.38931246987205,10.3691524330863,0.0012813836155689,0.0455815877032896,5206,3593,2941,3127,2980,3890,3298,5059,10272,2368,19877,25402,5330
"3","A2M-AS1",0.86799094087912,2.06389038316897,7.53056344625075,0.00606609327683091,0.110224133376042,34,20,13,22,12,39,13,31,67,19,57,78,39
"4","A2ML1",-1.42528693855093,2.24888524231325,2.75969149905324,0.0966668766841075,0.460702334889415,22,13,14,22,8,12,66,26,46,6,13,51,37
"5","A2MP1",0.542807394897823,1.06158416342709,1.92819599873463,0.164955946891486,0.574644223467834,20,7,6,10,9,11,8,15,29,7,32,45,24
"6","A4GALT",-0.388612850943377,3.83254278352017,1.1578401608383,0.281913922814653,0.69996305829436,146,103,124,189,89,272,190,135,112,83,166,209,134
"7","AAAS",-0.0183248301301719,5.45697417379868,0.00729746074182458,0.931923378541734,0.985074354213541,753,411,303,362,300,406,301,364,338,138,554,375,395
"8","AACS",-0.445923138946965,6.782679961616,2.66089408699209,0.102842911089249,0.473425914693803,1572,1077,888,1124,978,947,930,789,484,308,798,830,852
"9","AADAT",1.19511774943235,1.36129353681329,6.29947270687079,0.0120773891959532,0.162764412105641,27,16,15,8,15,11,2,22,43,6,61,82,19
"10","AAED1",0.482383929038425,3.73933909013916,3.14200784121411,0.0762998257586069,0.413781051046861,121,69,71,67,62,80,72,72,221,39,272,182,129
"11","AAGAB",0.0655768960743535,5.26535079935354,0.138901891441534,0.709375130251443,0.923967030613707,514,320,274,356,279,327,270,341,395,114,530,508,369
"12","AAK1",0.143025013039452,5.97094613570705,0.244302624804927,0.621115657805009,0.894789518072492,427,257,297,331,386,491,440,573,692,165,806,1832,547
"13","AAMDC",-0.406462891292232,2.78978978808659,2.25539891203699,0.133149140577881,0.525515004527268,75,61,52,59,67,52,59,59,68,24,46,85,39
"14","AAMP",-0.216455871394937,6.35586643333254,0.647718957710939,0.420929394103453,0.799086507194809,1283,654,636,720,561,798,612,657,561,199,859,599,652
"15","AANAT",-0.392313612160831,0.0665475956373801,0.44800225020758,0.503285183746798,0.841898875797486,12,0,5,1,0,8,7,6,10,0,9,10,10
"16","AAR2",-0.267066841262667,4.53167342289365,1.59989737635285,0.205917754603957,0.627079504941207,320,198,163,201,140,309,212,198,158,60,238,243,181
"17","AARD",1.82355606200522,1.96683222073562,9.4989572952212,0.00205588695765258,0.0596027402533446,61,31,27,26,36,17,14,29,58,11,157,104,50
"18","AARS",0.0182383056162566,6.56395072736962,0.00702406427639701,0.933207742965423,0.985482862137126,1190,719,670,627,545,1212,758,957,725,304,994,1108,722
"19","AARS2",0.0396604873956254,4.83822839161394,0.0273987866168124,0.868530153602429,0.968255036072836,490,200,212,271,166,267,144,228,238,83,405,337,263
"20","AARSD1",0.140633075989358,1.42125807526638,0.142461974066222,0.705845641104331,0.922947285314574,31,8,19,27,7,8,23,13,24,13,32,36,23
"21","AASDH",-0.0184311355823347,4.94944155862512,0.00916032041308767,0.923751245746854,0.983237097097108,426,277,260,291,189,270,238,278,295,100,415,351,284
"22","AASDHPPT",-0.364969194226773,5.58880989397983,2.61911806199395,0.105583109164894,0.479524292092126,829,495,333,470,270,582,428,410,342,120,569,493,366
"23","AASS",-0.175126151108929,5.57401474354593,0.448551575654744,0.503023591703294,0.84185337368597,653,344,256,350,319,302,236,271,404,132,636,556,419
"24","AATBC",1.10329824859837,2.22863988748934,8.85121250016255,0.00292894256617121,0.0731794092412225,41,22,24,24,9,19,33,36,67,20,120,100,61
"25","AATF",-0.572410191033185,5.03696909600172,5.52741710099285,0.018720721416944,0.207368021267781,536,334,258,279,201,266,269,226,242,92,290,323,184
"26","AATK",-0.0465567659125319,3.37756256345044,0.0106753940415629,0.917707575518021,0.98284158653217,100,23,98,96,43,33,115,35,70,28,102,161,94
"27","ABALON",0.0967971188185631,0.722909440508139,0.0518545389065164,0.819867097442035,0.955167090505068,16,11,11,10,3,14,16,11,17,6,15,18,11
"28","ABAT",0.148624693437232,3.81730191053043,0.354957811048852,0.551319961949335,0.866230834987245,151,116,86,121,107,135,99,122,108,67,236,263,140
"29","ABCA1",-0.278366971930675,7.25206253977308,0.57666667499976,0.447621851974831,0.815602692814974,1882,692,1258,765,473,865,501,883,1897,297,2208,3054,951
"30","ABCA10",0.822852012985965,6.22867853406398,7.16465845168818,0.0074353846566504,0.123024068262449,705,329,302,474,623,295,286,742,1531,325,1212,2775,736
"31","ABCA11P",-0.60540906410393,1.56040201327349,2.72779691298046,0.0986152336659164,0.465084127851019,33,14,21,31,28,24,18,19,17,5,30,62,30
"32","ABCA12",0.918822149072488,0.555062234640432,1.29652779544904,0.254848437060659,0.677325366332004,7,5,3,5,7,3,2,5,22,0,17,47,39
"33","ABCA13",2.71023867213794,1.94581135309417,6.93875236144572,0.00843479260327665,0.131569533563895,4,3,2,0,7,20,2,35,216,6,27,256,92
"34","ABCA17P",-0.143684344259976,0.703130845475025,0.0817367652149308,0.774957452777972,0.944367193691696,22,4,7,9,8,6,11,12,18,1,17,18,34
"35","ABCA2",0.444973488573943,5.35573759010363,2.47632597158788,0.115571940761737,0.499601794465346,462,206,321,293,227,277,206,279,423,156,743,1230,433
"36","ABCA3",0.070020040359259,5.12113197325914,0.0588951232229782,0.808250842608475,0.952870298932785,455,271,249,287,322,352,305,370,182,179,341,319,421
"37","ABCA4",2.054397762224,0.0983495168516458,8.95146753376832,0.00277246771801842,0.0712490889701016,4,1,3,2,0,0,3,3,13,2,13,19,30
"38","ABCA5",-0.094097071571274,6.89567883236816,0.221221264198377,0.638110947779522,0.903239180930368,1764,959,763,892,892,958,915,867,1137,314,1433,1529,1387
"39","ABCA6",0.726964811069523,6.84415473736908,8.46829959418391,0.00361389099497235,0.0819158580087721,1234,493,432,565,681,390,531,1219,2294,338,2104,2796,1126
"40","ABCA7",0.58139935143434,5.1339030251429,5.09766627343121,0.023958056180481,0.235228832176077,359,154,144,278,125,319,181,331,394,122,745,808,343
"41","ABCA8",0.564557919803905,7.55611082416419,5.96561649811391,0.0145874993538388,0.180645197477675,1455,1096,1041,1157,1214,1041,1117,1710,3326,640,2603,3956,1700
"42","ABCA9",0.37594333530197,6.06577763866301,1.66817543908156,0.196503097662898,0.61466712902166,940,341,248,380,447,209,307,451,1077,203,914,1523,592
"43","ABCA9-AS1",0.264758466814314,2.2016536112549,0.545094754678622,0.460328930623213,0.820625219997525,61,31,35,29,19,34,34,46,67,14,53,113,40
"44","ABCB1",0.967209062876432,3.37418724775698,8.83867604718857,0.00294913008035584,0.0734187829140646,108,58,46,38,31,41,44,77,142,21,194,256,129
"45","ABCB10",-0.479233443464203,4.54215102736461,5.83132518264765,0.0157432599544118,0.18771100358114,354,208,165,231,171,244,188,193,195,54,296,235,194
"46","ABCB11",0.757078686415817,1.03631430906343,0.869002779714798,0.351231529348206,0.758611278852859,3,4,3,2,4,6,6,2,107,1,49,16,24
"47","ABCB4",-0.0422339538920432,2.65596699721662,0.013452924565982,0.907663048384287,0.979763870620167,32,23,8,32,35,27,19,42,77,9,70,145,49
"48","ABCB5",1.56178069571897,0.405674578628739,5.17784260802597,0.0228767116290706,0.230016198624346,7,0,1,0,0,1,1,4,12,3,52,28,13
"49","ABCB6",0.324409248919115,1.44588751360044,0.74507673134681,0.388039457440129,0.780316352838147,52,14,20,23,18,6,14,26,25,7,48,40,27
"50","ABCB7",-0.273605270962941,4.68954205016298,1.91674939023958,0.166215448869609,0.575603838955037,365,213,215,228,191,189,192,192,244,72,339,313,223
"51","ABCB8",-0.00520657227181518,3.98548683251637,0.000538697649787423,0.981482872749877,0.996973296349309,183,96,81,116,105,150,97,118,167,42,285,302,138
"52","ABCB9",0.559301762222346,3.30071570675576,4.83470800291873,0.0278923638743272,0.2533517862518,123,71,73,93,63,84,73,96,76,36,173,213,116
"53","ABCC1",0.765061231069092,6.13527898850434,3.29119172040253,0.0696524510028457,0.396578283866188,186,81,98,97,147,187,125,179,315,92,546,794,199
"54","ABCC10",0.191591818471843,4.83248595226436,0.833025989933057,0.361398989414903,0.766421742533972,399,199,162,199,153,247,198,242,215,91,486,587,289
"55","ABCC11",-0.131166587572534,0.00793534714408745,0.0382366489755022,0.84496871060073,0.962744673660041,4,17,7,6,2,3,5,5,6,2,4,17,14
"56","ABCC13",1.29265160784407,-0.429835642090287,1.45306977860628,0.228036018613436,0.651731390756341,2,0,0,0,0,0,1,0,11,1,8,2,19
"57","ABCC2",-0.285502317736179,1.44628184166579,0.57278219135112,0.449155460923501,0.816228418023262,27,13,19,18,16,24,9,22,39,7,27,34,34
"58","ABCC3",-0.349938103901415,3.31493145157914,0.802250551265896,0.370421342397304,0.771084326732005,86,24,24,33,57,79,57,50,160,23,200,342,70
"59","ABCC4",-0.35745756579897,4.11635056325201,1.62554957171699,0.202319712007207,0.622246408020588,233,150,87,133,219,116,186,133,240,40,299,349,286
"60","ABCC5",0.339589150516973,5.47720653719846,1.04021136140243,0.307772319938059,0.723861899770568,761,326,223,317,328,280,245,351,534,128,1197,1214,435
"61","ABCC6",-1.55732633884628,5.07867756667603,10.8907068231884,0.00096647940089013,0.0387508483334705,278,151,350,335,111,165,151,63,66,20,139,99,155
"62","ABCC6P1",-1.8413496964378,0.666690080848752,7.31670198045587,0.00683166678020752,0.117431451101787,17,18,10,9,8,11,14,9,3,2,3,1,9
"63","ABCC9",0.753465579910708,5.12903320511312,7.66917139008479,0.00561722466887736,0.105292520466195,183,101,85,82,113,89,137,307,524,67,694,768,308
"64","ABCD1",-0.0680798149959109,3.31187832175213,0.0574054383555325,0.810644768233272,0.953124632020297,92,54,66,44,52,92,80,71,82,30,150,171,72
"65","ABCD2",-0.484005503436165,4.81131557783311,1.66745875308636,0.196599259532843,0.614863235515254,158,159,53,197,80,180,128,105,239,42,248,137,291
"66","ABCD3",0.225404850433327,6.30398335227598,1.2294617187668,0.267511746492375,0.689511873281538,1143,660,683,652,556,585,492,697,770,228,1110,988,788
"67","ABCD4",-0.0852552237121379,5.25690271930258,0.185776849720943,0.666455001269713,0.911767211579852,582,278,224,268,232,304,311,321,315,100,562,571,361
"68","ABCE1",-0.0850545842752972,5.8884688137928,0.175766388559884,0.675037071583276,0.914428482028541,833,459,483,441,371,565,411,555,533,138,732,565,514
"69","ABCF1",0.0773163914054469,5.56871408822121,0.183846146020995,0.668088548045892,0.912335706136874,669,328,364,368,251,450,323,445,415,141,532,597,382
"70","ABCF2",0.0956180648289179,4.9612759040081,0.230516682006044,0.631140980974445,0.899519272892491,379,195,228,197,185,287,212,302,364,97,408,415,273
"71","ABCF3",-0.319753193023787,5.48843246718251,2.60447498116146,0.106562442611215,0.481990870741835,792,363,403,416,281,479,420,399,351,144,460,425,282
"72","ABCG1",-1.03780219597888,5.12338681217553,8.2659422597789,0.00403956900223314,0.0880909521013296,683,348,469,329,244,309,165,223,188,83,380,454,178
"73","ABCG2",0.352665150124768,4.56843291780124,0.545009536329889,0.460363995117897,0.820625219997525,711,91,97,334,242,202,140,225,141,87,236,214,212
"74","ABHD1",-0.852011804887263,2.82190420344617,5.77553362169349,0.0162507852948766,0.191061578777287,183,98,102,148,68,100,78,64,55,30,54,71,88
"75","ABHD10",-0.33935193575461,5.72746169672656,2.10434572962063,0.146881156466242,0.544441610718121,859,563,468,529,423,565,393,520,395,122,527,430,422
"76","ABHD11",0.288386732112863,4.25407979758599,0.937759564382333,0.332854691175556,0.743715773295074,278,145,217,148,128,216,176,165,171,50,245,203,213
"77","ABHD11-AS1",-0.956076303001186,0.639678851944795,1.9071003814435,0.167285709003458,0.577454974983919,5,5,19,9,6,29,19,7,12,1,7,15,17
"78","ABHD12",0.200656865522201,4.98736635523437,1.15422433564974,0.282666591067563,0.700556868904926,459,220,247,316,229,275,202,289,290,107,478,509,248
"79","ABHD12B",0.302797115557752,0.246106286329697,0.308829994550958,0.578399036367808,0.879750881337127,13,6,2,8,2,4,5,7,13,6,6,34,21
"80","ABHD13",-0.0856427527746162,5.031159856377,0.150509525412572,0.698048912392065,0.920690622945479,434,253,249,253,193,304,252,294,328,94,401,463,245
"81","ABHD14A",-0.158843078013874,2.15301414969624,0.27318964539764,0.601200112385698,0.888608191617816,58,28,32,41,37,59,31,44,36,10,55,37,29
"82","ABHD14B",-0.306923637633919,5.30054184370792,1.97435588180603,0.159986267763047,0.565152201291558,627,378,382,360,255,450,346,351,281,133,369,345,365
"83","ABHD15",-0.142226237581322,3.91320971194306,0.353589558121818,0.552088167976436,0.866360585509266,132,102,73,86,75,110,75,130,173,39,192,241,134
"84","ABHD16A",0.131924067303485,2.1836465656635,0.17943221458761,0.671861641030855,0.912716722307407,48,26,28,32,23,31,31,21,53,14,73,59,36
"85","ABHD17A",-0.109824076790762,4.4596384911923,0.114512220841043,0.735064378335261,0.932739686877247,340,179,158,192,114,171,124,113,221,67,380,236,195
"86","ABHD17B",0.0534205283275684,4.25587818048731,0.0513424903371256,0.820743491716682,0.955399156409089,278,119,126,188,147,153,120,163,140,46,304,215,199
"87","ABHD17C",-0.45307550161955,4.42565540642243,2.42927743879822,0.1190877797728,0.505640000879901,348,241,219,202,169,229,172,200,71,65,122,167,157
"88","ABHD18",-0.261096785296842,4.50670384016197,1.67295308390352,0.195863459671541,0.613848290830411,288,173,155,183,162,178,145,189,219,70,261,349,181
"89","ABHD2",0.300874467731431,6.63068576950182,2.13027404084612,0.144414935225529,0.540519931703959,1138,745,743,744,479,853,800,881,1034,333,1335,2389,847
"90","ABHD3",-0.238337599327526,4.45079046649868,0.880019847185849,0.348196243487695,0.756453529708365,298,177,145,148,140,229,128,173,197,66,281,263,180
"91","ABHD4",0.023093413767105,3.27741513134167,0.00724787462968202,0.932154502329629,0.985104880298191,150,53,87,63,47,112,85,69,103,33,125,176,93
"92","ABHD5",-0.186297887520924,5.70605991377052,0.447888027969274,0.503339606219257,0.841919099115945,565,329,339,402,272,448,376,380,422,149,584,507,488
"93","ABHD6",0.149189422995354,2.98533075635436,0.304589360024105,0.58101950652057,0.880673420141842,83,35,40,46,50,40,27,63,97,22,134,119,70
"94","ABHD8",0.0506319246502363,2.740061733569,0.0344930874540221,0.852661875178641,0.964713811215884,85,62,52,48,45,91,78,59,56,23,100,107,56
"95","ABI1",-0.419799391718343,6.51199751293626,3.4379384505255,0.0637151487724681,0.380074048826288,1255,882,597,807,736,1038,926,873,659,229,848,880,573
"96","ABI2",0.343779124485467,5.75418767463814,1.31953933895269,0.250674741667112,0.673159500712331,599,362,383,381,416,369,344,380,602,130,876,1523,525
"97","ABI3",0.636871956111945,2.72543978656185,4.26519190757282,0.0389008550392576,0.300333930520479,54,31,12,23,19,49,28,50,85,25,158,106,57
"98","ABI3BP",1.10883932877956,5.27849270443412,8.80726065875757,0.00300034158700005,0.0736432472738032,214,133,89,142,215,194,203,341,640,130,935,1774,312
"99","ABL1",0.00502034960079556,6.05992078770187,0.000330032298954563,0.985505795123823,0.998438835214239,677,426,589,532,450,474,527,396,623,231,662,1177,530
"100","ABL2",0.330435709898357,6.10274326737299,0.929881507974436,0.334893717049443,0.745599916395409,579,325,443,389,412,390,568,391,803,176,755,1361,631
"101","ABLIM1",-0.0898178985933217,8.36047726026127,0.206342581727595,0.649649279992899,0.907191748384972,5571,3545,3572,3431,2114,2887,3265,2638,1687,1220,3004,4897,2763
"102","ABLIM2",0.328787782304179,1.08913128318621,0.500670040360777,0.479205860145172,0.829094923581312,16,6,9,6,9,7,11,15,14,5,24,41,36
"103","ABLIM3",0.115747909756594,3.53420618663254,0.134206370988153,0.714109984745148,0.925829164055509,53,36,27,50,28,36,49,44,95,31,132,180,99
"104","ABO",-0.760056982584815,1.76160700199589,3.13516920780392,0.0766204355418494,0.414083484254429,40,24,34,27,41,18,28,25,36,5,33,152,52
"105","ABR",0.188379275392385,6.54725351365076,0.972537361090879,0.324048182625861,0.73790286214538,1204,587,746,726,596,664,718,772,804,311,1165,1666,716
"106","ABRA",0.175877450488806,0.999377106360399,0.15799590040843,0.69100838483127,0.919537884279395,33,13,11,19,1,11,12,15,17,9,20,26,29
"107","ABRACL",-0.12018150463631,4.01362541199639,0.173618596714711,0.676915667839846,0.91509845993326,191,129,91,155,119,154,113,104,170,27,311,218,152
"108","ABRAXAS1",-0.250927875544537,3.49939050372249,0.843220146999313,0.358477428288467,0.763973327668349,218,103,88,103,68,84,74,84,111,33,160,172,104
"109","ABRAXAS2",-0.0435233983684231,4.48455080662017,0.0382132068434675,0.845015638747469,0.962744673660041,319,196,165,161,153,206,147,220,196,70,279,268,202
"110","ABT1",-0.506152362209756,4.31960057013755,4.73455387880098,0.0295625142128815,0.261054500886281,361,172,172,185,126,182,135,146,202,48,215,173,123
"111","ABTB1",0.283512908395159,4.20481287591627,0.64861536044625,0.420608159694765,0.798996350612172,237,104,121,115,75,129,143,111,144,123,208,294,131
"112","ABTB2",0.17019076930717,3.79877486856997,0.299281690277493,0.584333087208883,0.881571909979596,205,89,96,126,112,133,96,111,81,49,122,306,130
"113","AC000061.1",-0.596668754600499,-0.116216427244396,0.55351031518741,0.456886918039212,0.818615991411043,17,8,13,15,7,21,13,6,2,1,3,1,15
"114","AC000068.1",0.294917554567725,1.18793458333428,0.486575579443784,0.48545884965336,0.833330484358544,32,19,15,18,8,25,12,21,8,9,17,20,19
"115","AC000078.1",-0.0761188618300677,0.434928066657734,0.0258091402883451,0.872367312389657,0.968866715721438,11,4,10,4,19,7,11,8,13,4,18,24,12
"116","AC000111.2",-0.680587266387536,0.276013604900288,1.12172130221539,0.289548114768709,0.706048664359992,21,15,18,14,3,26,21,9,2,5,5,1,13
"117","AC000120.1",-0.517411598287563,1.48086595307752,1.94343067070271,0.163296520910367,0.571438387734854,31,16,22,19,17,14,15,11,26,7,26,59,19
"118","AC000123.1",-0.292452119534805,0.559293553075985,0.458640323299823,0.498260106320661,0.839125308337566,15,8,9,9,12,11,6,7,15,2,11,23,24
"119","AC000123.2",-0.913258753105127,0.0537437669122975,3.26460456665006,0.0707900879536341,0.399170192577793,12,5,9,7,8,11,1,4,7,2,7,19,6
"120","AC000123.3",0.159879383767327,3.30590554286595,0.363532014639619,0.546551158555982,0.863780152682881,91,42,54,60,54,78,65,98,90,23,117,278,95
"121","AC001226.2",-0.645030192197732,2.52959043668613,4.85085142923337,0.0276324891826911,0.25286291635077,53,25,26,27,33,54,27,22,98,11,75,136,57
"122","AC002044.2",-0.39425034205561,0.750251124191631,0.567643764068126,0.451196743824727,0.817352750793292,13,0,9,10,14,12,12,9,7,3,12,24,13
"123","AC002044.3",-0.156546807019317,0.177322414486887,0.0631226436125019,0.801626858910674,0.951141211725243,1,3,7,3,11,5,6,3,4,1,6,24,7
"124","AC002064.2",0.30120270591209,0.0781550432741257,0.313163195411885,0.575745577969522,0.87884166510537,11,6,3,14,5,3,3,7,16,1,5,12,12
"125","AC002128.1",-0.141954477408061,1.84858955709848,0.1780914621497,0.673018564090862,0.913339693117644,63,19,26,33,17,12,29,20,30,8,56,60,36
"126","AC002128.2",0.655194566432472,0.622547544617543,1.99662032767685,0.157650383849326,0.561287295738524,27,8,9,6,4,4,4,10,7,3,18,19,12
"127","AC002310.6",0.119032503199842,1.19846295225069,0.0790236223206975,0.778624953413945,0.944801285753296,50,22,15,28,12,8,23,26,19,7,34,14,15
"128","AC002350.1",0.622649555194653,0.355132758188448,1.45974818257914,0.226970191780201,0.650708076697187,20,6,4,2,4,3,2,7,14,5,12,11,13
"129","AC002366.1",1.52120074332404,0.0461026325950101,7.44751529802736,0.0063524081621215,0.112901424064587,4,1,0,2,2,2,4,4,7,1,15,25,10
"130","AC002400.1",-1.10727692553848,1.43296019245775,6.77541209866063,0.00924221491034618,0.139460675369473,27,11,11,26,29,20,26,12,13,11,18,57,22
"131","AC002429.2",-0.0760031736298823,2.47188988273538,0.0325670602215844,0.856788738482506,0.965536304930045,54,29,40,59,75,56,48,41,29,13,33,57,71
"132","AC002463.1",2.25854740577387,0.596009986793706,12.0637207610856,0.000514125767345661,0.02615072445261,5,3,4,9,2,5,11,12,1,4,16,5,11
"133","AC002467.1",-0.736122017254012,0.364512355200653,2.09758143616805,0.147532342898137,0.544869681626399,18,6,6,11,3,16,7,8,6,3,7,8,5
"134","AC002543.1",0.216545323294031,1.53748083329124,0.30819289547021,0.57879121964099,0.879750881337127,19,9,16,26,11,10,9,17,42,7,26,61,30
"135","AC002546.1",1.47092797068477,0.806186079127495,5.02048588560668,0.0250491391182594,0.240549144753232,2,1,8,2,5,1,6,10,20,0,11,21,25
"136","AC002553.1",-0.0949301286424658,1.28500029945756,0.0586557288538483,0.808633370772952,0.952870298932785,19,12,14,20,23,8,15,12,28,5,25,53,24
"137","AC002553.2",-0.548739416111604,1.09615591957101,2.04959790818281,0.152246393992415,0.55293577131504,14,10,11,9,21,14,19,11,20,6,28,50,12
"138","AC002558.1",0.637077200673346,0.390934185442677,1.875477824693,0.170849013843325,0.581773225065198,7,2,4,6,9,9,3,8,15,5,8,33,18
"139","AC002558.2",0.537612394374141,0.340854870759837,1.15351620772426,0.282814292109999,0.700711429112204,6,4,8,4,7,8,2,9,16,2,6,24,14
"140","AC003070.1",-0.585651162730628,0.771273634343767,1.7709879560026,0.183259858955023,0.599044693392012,25,14,7,5,13,7,9,12,12,4,17,27,7
"141","AC003080.1",0.24708955257513,0.193215487931753,0.21556804071923,0.642437799242416,0.905345149222576,13,2,5,5,7,14,6,4,16,5,9,30,12
"142","AC003101.1",0.920637610410884,-0.210823795230618,2.25169546519768,0.133468097074161,0.526198121442277,1,2,2,2,2,1,1,1,6,1,13,14,15
"143","AC003101.2",0.839751966829098,0.0330337881292833,1.91911327677456,0.165954445123693,0.575447899303751,8,0,2,2,1,1,4,4,13,2,10,10,15
"144","AC003102.1",0.258162597886231,0.966244600447911,0.366153407259773,0.545108493158521,0.862459642954388,14,9,19,11,12,10,10,17,19,6,28,45,19
"145","AC003681.1",-0.0349303767283694,5.54253300518867,0.0172623121656112,0.895469869208329,0.976730584883418,449,216,266,287,483,274,265,296,460,111,577,989,537
"146","AC003973.3",0.394559367587436,2.45580131356196,0.517758641449529,0.471799350862592,0.826417605245308,13,31,32,33,55,33,36,47,67,7,188,178,55
"147","AC003986.2",1.32319302190535,-0.165605383715782,5.23457817207628,0.0221421772432461,0.22526116611306,4,2,7,3,0,1,1,8,21,2,14,20,13
"148","AC003989.1",-0.24916448853381,1.24978815388752,0.492467358155039,0.482828732162924,0.831601093379773,26,10,15,16,20,14,8,17,24,6,21,36,17
"149","AC003989.2",-0.627278358702084,0.183632146166247,1.5090647652389,0.219281850373863,0.641146222984312,16,4,8,10,7,4,2,7,7,2,7,10,11
"150","AC003991.1",0.503076100997507,1.93534068821943,0.582748355608917,0.445237065170516,0.814134429253539,22,11,19,8,13,8,25,9,71,4,87,117,20
"151","AC004066.2",-0.319461990613313,0.360171543652619,0.181792180637352,0.669837571330822,0.912686552169293,15,23,8,11,14,12,4,4,0,2,8,3,17
"152","AC004067.1",-0.167678777860524,0.2308114599718,0.120284543595993,0.728726083778296,0.931584385632895,18,8,1,10,2,7,9,9,8,2,17,19,12
"153","AC004076.2",-0.302640755950153,0.9741393633556,0.459352176344478,0.497926890111145,0.839125308337566,17,14,16,17,8,16,8,9,14,6,21,56,15
"154","AC004130.1",-0.540631125761949,2.83540520933854,2.10816955107201,0.146514479134319,0.543530955828188,170,78,77,76,53,84,79,48,14,16,26,18,32
"155","AC004148.2",0.267135482438554,2.54692615447406,0.759442628070314,0.383503007057932,0.77758592315811,101,43,30,61,33,45,32,49,45,15,96,94,67
"156","AC004160.1",1.20308959076698,1.7160291073751,4.16356831159126,0.0413023050011524,0.309831107399016,9,6,7,11,11,4,1,14,46,4,19,52,74
"157","AC004231.1",0.864751537866329,0.764390353062011,2.46057254418745,0.116736224036918,0.500805351740831,28,11,9,8,9,16,11,5,9,7,24,19,21
"158","AC004233.2",3.23861271410089,0.728122871745394,10.0343231670171,0.00153649994282481,0.0511857803398656,6,5,2,4,4,6,3,12,46,0,112,27,21
"159","AC004241.1",-0.579394944961688,0.969880741299316,2.15958497457451,0.141682953890795,0.536840764941479,19,18,11,18,10,23,21,10,8,4,23,39,14
"160","AC004241.5",1.09183004006837,0.687109123881471,6.05389209294805,0.0138756784979369,0.175419734330224,5,7,10,12,7,8,6,13,6,7,14,26,11
"161","AC004253.1",-0.0956406202171649,0.505662728722891,0.0520479043628281,0.819537328154339,0.955026631236901,18,7,6,9,10,12,8,8,14,6,18,23,12
"162","AC004263.1",1.03857860967987,0.227308859657579,4.22049591153317,0.0399384864578289,0.304095183259304,5,4,5,8,1,2,6,8,5,2,16,19,12
"163","AC004381.2",0.092796121489112,0.489610254246935,0.0471351104985782,0.828125567188984,0.957993734084352,14,6,7,9,6,8,8,12,11,4,17,27,12
"164","AC004453.1",-0.91946966642641,1.36319492406639,5.68078021159907,0.0171517390542195,0.197175599023305,43,17,25,19,26,20,17,26,9,2,18,28,18
"165","AC004461.2",-0.418033345110308,0.973361216952589,1.14614504615611,0.284357582824307,0.701587428643032,26,14,7,11,18,12,9,8,19,8,20,30,13
"166","AC004466.2",0.636485255820694,0.815143723857735,1.46804986760779,0.225653632869375,0.649088725846995,11,4,17,7,3,6,3,17,18,0,11,29,27
"167","AC004471.1",-0.137296697188519,0.508022724903977,0.0811510193870966,0.775743602806268,0.944453237882696,16,2,11,12,4,8,13,3,11,1,17,14,16
"168","AC004477.1",-0.364977255326613,0.862759021595596,0.725952566850161,0.394198273389747,0.782926086058281,39,13,5,16,4,22,18,17,11,3,23,22,22
"169","AC004492.1",-0.321456063726009,2.31541214072038,1.22404320502101,0.268568628435105,0.68973923196174,49,40,27,41,36,37,43,40,42,13,43,76,52
"170","AC004494.1",0.0199255493651575,0.967660064006026,0.00213867411009261,0.963114337584065,0.992456888387144,15,7,2,14,10,11,9,13,21,5,9,46,12
"171","AC004520.1",0.340366160055336,0.784739109030102,0.704163096884566,0.401388359169742,0.78595443020215,16,10,4,10,12,18,9,21,7,8,17,22,17
"172","AC004556.1",1.70798807656827,-0.305586232093988,1.49673801401992,0.22117395470073,0.643556343977779,18,0,0,0,0,0,14,15,0,0,0,0,0
"173","AC004585.1",-0.613673258180038,0.142814885961653,0.747237965600924,0.387352118609214,0.780038369268939,6,4,2,2,0,12,0,11,8,2,6,11,6
"174","AC004594.1",-0.0260217559312859,3.09812818560527,0.00524451712323071,0.942268434119061,0.987613418678235,109,59,77,89,101,68,73,76,45,27,62,79,94
"175","AC004656.1",0.070107964773701,6.34709539306148,0.0585090663511849,0.808868131079975,0.952870298932785,1179,780,453,798,680,912,674,471,629,194,1014,1068,929
"176","AC004672.1",-0.83607344395197,1.07354628495543,3.84701542638265,0.0498345947398838,0.337462757601463,28,12,14,18,31,14,15,12,16,5,8,46,20
"177","AC004687.1",-0.0296320976941286,1.97978913623939,0.00258281288277118,0.959467852406706,0.992140279140012,26,7,6,9,14,50,14,35,46,20,32,66,16
"178","AC004801.2",-0.409698318977611,0.0714137968380708,0.658893568673253,0.416950827068772,0.796718836376127,8,3,7,3,9,3,6,5,7,2,11,14,4
"179","AC004803.1",-0.130277652883994,1.98774169476586,0.146451815119335,0.701949456463152,0.921507716667433,62,24,25,43,21,29,29,20,28,7,48,64,52
"180","AC004812.2",-0.116486539501956,1.14171613596126,0.101711279374868,0.749785616840048,0.936493937136196,34,17,19,22,11,17,17,18,11,7,29,40,27
