"","gene","logFC.x","logCPM.x","LR.x","PValue.x","FDR.x","logFC.y","logCPM.y","LR.y","PValue.y","FDR.y"
"1","ACHE",-0.373862592214688,2.31066730629632,0.934974160963208,0.333573719339217,0.821574759154959,-0.542273849969279,2.31066730629632,3.42355571114373,0.0642724394555832,0.381225850251309
"2","AMY1A",-0.32077531984177,1.72352193034818,0.0503291009507052,0.82249160000832,0.97928165711161,0.63436097613705,1.72352193034818,0.518778617326554,0.471363154562055,0.826417605245308
"3","AMY1B",0.230357689594226,6.93760649799061,0.0460768780951639,0.830036111388649,0.979805210309678,0.861845101363098,6.93760649799061,0.89000330801607,0.345476411465262,0.754150733677738
"4","AQP5",0.184658908788188,9.07856978195406,0.0357879987022756,0.849953966380834,0.983741490622591,0.392824455383135,9.07856978195406,0.283530415726851,0.594396538593046,0.887289526348307
"5","BHLHA15",-0.308028937289232,5.06432121098115,0.229985018671961,0.631534937140911,0.939187799724453,0.065727695836749,5.06432121098115,0.021154755362133,0.884358160581006,0.973451948118155
"6","BPIFA2",2.32896414289316,11.3863418486996,4.07421153905722,0.0435425829924403,0.391666617165831,-0.5945955170573,11.3863418486996,0.471029801694343,0.492513792742555,0.836172055079501
"7","CDH1",0.822572269132054,7.67510702001376,3.98090239562199,0.0460189030217494,0.401414010217786,1.11119825255614,7.67510702001376,9.00589830230012,0.0026910968630922,0.0706075651888887
"8","CHRM1",-0.265788070079424,4.03361434481616,0.139283350716731,0.708994500498723,0.959138463174347,-0.0767285161802087,4.03361434481616,0.0223163066118239,0.881248715851939,0.972547276003738
"9","CHRM3",-0.592243658721318,7.21420211448949,1.90684090798471,0.167314598341438,0.668720404303562,0.285295377784594,7.21420211448949,0.582578649218032,0.445303344115313,0.814134429253539
"10","COL1A1",0.45537691790615,7.03168274927153,0.330915225707894,0.565120666358221,0.924112358197949,1.3777644377745,7.03168274927153,3.40322273558349,0.0650691737176131,0.383305641508743
"11","COL3A1",0.990025315852713,9.79429845640833,1.78230607494129,0.181866408508459,0.687765569959354,0.976883809153344,9.79429845640833,1.68702136713556,0.193994084365455,0.611881042709087
"12","GFRA1",0.709462717089229,5.48140958342624,6.56011348112255,0.0104289715362393,0.199818290860045,0.276758131636454,5.48140958342624,1.66402323236538,0.197060989450929,0.61535388417171
"13","GFRA2",1.34615765981229,2.41321451449443,4.53158786317656,0.0332747299520902,0.347898355231554,0.771951215525989,2.41321451449443,2.09993338161908,0.147305556567268,0.544858155218002
"14","GFRA3",1.76510509670932,1.35874376570931,8.69008758462608,0.00319945250040217,0.110213664798675,1.84598517475307,1.35874376570931,11.7796321671637,0.000598823158268071,0.0282213150986621
"15","HTN3",-0.585201953373412,16.0167769255705,0.339782023943371,0.55995506884803,0.922583400523725,-1.12035450838688,16.0167769255705,2.23427731872789,0.134979721124185,0.528170739078104
"16","KRT14",1.23209423972127,6.78626744526932,1.90845039943283,0.167135492426403,0.668517849851111,1.40096054849726,6.78626744526932,1.98508593111026,0.158855638265728,0.563259214446211
"17","KRT19",2.08070413952217,8.49868814266888,7.13775148267073,0.00754777401370947,0.171796946678251,1.86275068750517,8.49868814266888,5.69993647416885,0.0169655269867507,0.195873035526608
"18","KRT5",1.74136601470196,7.58319050977827,4.7075321306724,0.0300307323292459,0.332298337260843,1.92884336680886,7.58319050977827,5.25888179412092,0.0218350433440076,0.223612431527097
"19","KRT7",1.31950844293765,8.60845937033117,2.86016652947556,0.0907980979496205,0.537918549902309,1.35123392648395,8.60845937033117,2.7485525680808,0.0973425133011442,0.46281326907319
"20","KRT8",0.911667359001963,6.74193333146924,2.60903513772471,0.106256394118082,0.568353020091608,1.05088845024234,6.74193333146924,3.45172070532867,0.0631859573368875,0.378364195387099
"21","LPO",0.561753826354072,9.91544587426639,0.329786759128517,0.565784679006381,0.924112358197949,0.954763818197189,9.91544587426639,1.70514044547646,0.191617088741427,0.609350921152782
"22","MUC19",3.93702112334228,9.31367978763658,4.17593887101123,0.0410018393260462,0.381056859430445,-1.29951793987827,9.31367978763658,1.59804370712988,0.206180666408155,0.627385551531379
"23","MUC5B",2.21764670050664,8.32373472051903,6.09392718342956,0.0135647258744466,0.229043095874282,-2.02593588519973,8.32373472051903,7.28767157060267,0.00694294037655344,0.118633556538069
"24","MUC7",1.97721012647358,11.4540858799879,1.21243938888122,0.270849544741424,0.779883559550809,-0.129015452118434,11.4540858799879,0.020716858729088,0.885552964633464,0.974003601556256
"25","NGFR",2.7942370510982,5.0933640453032,16.7622955824912,4.23668281809729e-05,0.00780177295243693,1.85474517165188,5.0933640453032,7.19618536823225,0.00730587153085449,0.122257756204826
"26","NRTN",-0.00460892535197544,1.99523561596364,2.49824152156464e-05,0.99601199711059,0.998495258500402,0.352487458065877,1.99523561596364,0.913190174399279,0.339269386127867,0.749888842886126
"27","OPRPN",5.49469551269201,2.25947212620246,16.0987802507112,6.01227474384253e-05,0.00980099345127378,4.89962872865311,2.25947212620246,24.036707224374,9.45165135838852e-07,0.000350175713106698
"28","PRB1",-5.09264972704201,12.3014647691591,4.8702282040596,0.0273238869185106,0.320450257780642,2.61047648327103,12.3014647691591,4.34469271943054,0.0371244658549793,0.294743064640251
"29","PRB2",-4.44570778646421,10.4626247970707,4.70498844887605,0.0300752040040025,0.332298337260843,3.76904257488628,10.4626247970707,8.62700048354662,0.0033121650150164,0.0779554293711788
"30","PRB4",-2.95591033236894,11.6870786511968,3.22759662239847,0.0724068794984057,0.487028881820987,4.62936031017585,11.6870786511968,12.128634963039,0.000496534518875791,0.0257070660875799
"31","RET",0.49969874837943,3.6952685780494,0.686463592268652,0.407369855064421,0.865255408065615,0.0144939645911845,3.6952685780494,0.00075866162196192,0.978025995551837,0.996316555940652
"32","VIM",0.973385736155206,8.45275929745194,11.756042878876,0.000606460216844588,0.0386579512583499,0.497008386586903,8.45275929745194,4.95380406187444,0.0260333255547402,0.244182454759256
"33","VIP",0.546201258833379,0.550023514147013,0.248879430310328,0.617865212479759,0.937178427712706,1.94040341954249,0.550023514147013,7.58791243256778,0.00587609540438878,0.108007195381224
"34","XBP1",-0.758188322815492,10.1894204688338,3.81373633528318,0.0508339362372366,0.418364344313293,-0.259880641403271,10.1894204688338,0.754111631695363,0.385177577917853,0.778059181270814
