"","logFC","logCPM","LR","PValue","FDR"
"TLX1NB",6.49611903544764,-0.19466425697439,53.5471398347716,2.52461703114662e-13,1.35701577068767e-10
"SLC16A9",2.52443442146571,3.12157224986902,52.4029068732827,4.52054317337146e-13,2.31817765153246e-10
"ABHD1",2.23879818334741,2.82190420344617,52.3919205439909,4.54590347997617e-13,2.31817765153246e-10
"ISL2",3.58442484014904,0.516673359682904,51.8549353853333,5.97562819553581e-13,2.9710823388204e-10
"SCGN",-3.61516084848065,2.00833993229726,51.0357958430115,9.06968305024474e-13,4.39945991471384e-10
"CSNK1A1P1",-2.69000548511066,1.0412743984793,50.899962211381,9.71954577502518e-13,4.60243634223097e-10
"PTN",-2.55390973918086,5.19706010201138,50.2804383080122,1.33271428825143e-12,6.16395854994059e-10
"MUC5B",5.51258571216298,8.32373472051903,49.7349004381189,1.75987387603541e-12,7.95462991968007e-10
"SMIM31",4.88765352709238,0.983274245808843,49.4144070187756,2.07218247576174e-12,9.15812557287764e-10
"INHBA",-2.93856432784855,4.25345124207159,48.9634249264687,2.60780221274746e-12,1.12747761754612e-09
"DEPDC1B",-3.05590045622457,1.38782230743269,48.6525821854027,3.05565723244203e-12,1.29299810720866e-09
"CNTN5",-4.29605878377927,4.90319405815656,47.4805649180144,5.55519849059536e-12,2.30170390793668e-09
"TMX4",-1.06962093073274,7.37094085316395,47.1688652943938,6.51267828950958e-12,2.64334991472993e-09
"MEGF10",2.37376327859623,4.25738009138752,47.1118735964537,6.70482782786801e-12,2.66691231681278e-09
"MPV17L",-2.22372612794709,2.55375878268514,46.3959789426509,9.66135758524077e-12,3.76755058147585e-09
"AGR2",3.95141072440043,5.92804689277078,46.0891891070781,1.12990229406108e-11,4.32144169697822e-09
"AJ009632.2",-4.36832193437585,1.28868980955358,45.5177917227666,1.51258602990989e-11,5.67590772883924e-09
"NMUR1",-3.10197841179642,1.34636387467786,44.9633863832251,2.00753142214863e-11,7.39366387475777e-09
"NXPH1",4.93450593127656,0.62909305024736,44.7049974909801,2.29071891537235e-11,8.28323959798641e-09
"C1QTNF3",-3.64337068984198,6.47637030071338,44.2823077989799,2.84273823890309e-11,1.0095781802733e-08
"MSC-AS1",2.55672087290303,1.87489340123654,44.1237552592671,3.08257179265042e-11,1.07554715460055e-08
"UGT2B7",-2.60327937997849,0.673342146319314,43.16174157629,5.03965500945743e-11,1.72808032462223e-08
"MUC19",7.45399906479401,9.31367978763658,42.6900930857478,6.41362921164506e-11,2.16193657222368e-08
"DPH6-DT",-2.52980554517469,1.91853644499733,42.1459644404342,8.4708571106797e-11,2.80780677028663e-08
"PLA2G4A",1.45017961633801,3.97366605841418,41.9238228456842,9.48993648664717e-11,3.09403044010556e-08
"LYPD6B",-2.91589991534983,2.99583862816303,41.6962876826982,1.06611224597493e-10,3.41981295934668e-08
"SOWAHA",1.8877477322028,2.57797002055204,41.3136070601237,1.29663147221938e-10,4.09323916182524e-08
"MEI4",-2.7843348206784,0.525575163619461,41.0248816102511,1.50303489975282e-10,4.67068095098188e-08
"PLCB1",-1.36808559078963,7.50964602573891,40.5166799389877,1.94944725103254e-10,5.96470875823617e-08
"AFF2",-3.0040055088592,2.67369611886596,40.2416171462996,2.24416238460211e-10,6.76240931893437e-08
"CHST6",-3.32467836022291,4.44446233351705,40.0546933871489,2.4695068273224e-10,7.33038086295341e-08
"C6orf58",9.94397322671416,8.31458684573902,39.5122658037135,3.2600529620169e-10,9.5033509983805e-08
"BCAS1",2.52155841940993,3.52693007442611,39.4901876481007,3.29711996625228e-10,9.5033509983805e-08
"AC002463.1",-2.96500065644111,0.596009986793706,39.4503151729889,3.36513418158655e-10,9.5608269433419e-08
"XK",-1.51912363965632,2.82169182564329,39.1392905621441,3.94621948335477e-10,1.10538609978816e-07
"LRP2",-4.46394514963756,5.00436115190176,38.9160510740342,4.4242781023812e-10,1.22208392916885e-07
"AL132857.2",-1.66189296299843,2.82126448198867,38.8247411119244,4.63614309973557e-10,1.26306320503481e-07
"PRB1",-8.61899309923178,12.3014647691591,38.6319924374565,5.11732131447767e-10,1.37531467976124e-07
"A4GALT",2.08864422796714,3.83254278352017,38.2878084644055,6.1042825248084e-10,1.61869294471186e-07
"COL21A1",-1.44291732908575,5.63265931134264,38.1442822684437,6.57019872599094e-10,1.71931726661194e-07
"CAMP",-3.51037201190354,1.13722470755604,37.9565170380086,7.23390285854182e-10,1.86841376689194e-07
"MNX1",3.52194292107913,0.158371776037052,37.8748754323265,7.54304276129917e-10,1.92328249277843e-07
"CAMK2B",-2.63841919952666,1.27668666061523,37.7523324004922,8.03206269037547e-10,2.02204636438212e-07
"HDAC9",-1.73897763805797,6.35283320708862,37.0880311269511,1.12914675866316e-09,2.80705884203662e-07
"TTC6",2.97663825114569,2.45340224903716,36.8211566482165,1.29477526434056e-09,3.17907289595123e-07
"FOXA1",2.58872549239087,2.967857444498,36.645878866819,1.41658177228955e-09,3.43572905942616e-07
